iter	Passed	Remaining
869	12752	8443
870	12768	8429
871	12783	8414
872	12798	8400
873	12811	8384
874	12826	8369
875	12839	8354
876	12854	8339
877	12869	8325
878	12883	8310
879	12899	8296
880	12912	8281
881	12926	8266
882	12941	8251
883	12956	8236
884	12970	8221
885	12986	8207
886	13000	8192
887	13015	8178
888	13027	8162
889	13043	8148
890	13058	8134
891	13073	8119
892	13089	8106
893	13103	8090
894	13117	8075
895	13132	8061
896	13146	8046
897	13161	8031
898	13176	8017
899	13188	8000
900	13203	7986
901	13218	7972
902	13234	7958
903	13248	7943
904	13263	7928
905	13279	7914
906	13293	7899
907	13308	7885
908	13323	7870
909	13337	7855
910	13353	7841
911	13367	7826
912	13383	7813
913	13397	7798
914	13413	7784
915	13427	7769
916	13442	7754
917	13456	7739
918	13470	7724
919	13486	7710
920	13500	7695
921	13514	7680
922	13529	7666
923	13543	7650
924	13556	7635
925	13570	7620
